Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
00650341P 2K,,BLUE,,,,NA,,SHOPPER ZIP LARGE,,,LUGGAGE,,0001968000,385.00,"1,001.00",1,385.00,"1,001.00"
00650441P 2K,,BLUE,,,,NA,,BACKPACK,,,MAN BAG,,0001968700,385.00,"1,001.00",1,385.00,"1,001.00"
00650541P 2K,,BLUE,,,,NA,,BIG SHOPPER CARRY ALL,,,LUGGAGE,,0001968100,370.00,962.00,1,370.00,962.00
00650641P 2K,,BLUE,,,,NA,,SHOPPER 24 HOURS,,,LUGGAGE,,0001968200,490.00,"1,274.00",1,490.00,"1,274.00"
006800301 17,,DARK-BROWN,,,,NA,,DOC BAG,,,MAN BAG,,0001971800,239.00,676.00,1,239.00,676.00
006831001 27,,DARK-BROWN,,,,NA,,DOC BAG,,,MAN BAG,,0001971600,214.00,557.00,1,214.00,557.00
007420901 14,,BROWN,,,,NA,,BORSONE,,,LUGGAGE,,0001983700,314.00,816.00,1,314.00,816.00
0088424 01,,BROWN,,,,NA,,TRUNK,,,ACCESSORIES,,0001985000,"3,000.00","9,000.00",1,"3,000.00","9,000.00"
01083001 20,,BLACK,,,,NA,,travel document holder,,,ACCESSORIES,,0003273400,0.00,208.50,0,0.00,0.00
01101801 14,,BROWN,,,,NA,,coin purse,,,PURSE,,0003282100,0.00,50.00,0,0.00,0.00
01201401 20,,BLACK,,,,NA,,cigarette holder,,,ACCESSORIES,,0003273900,0.00,90.00,1,0.00,90.00
01202401 20,,BLACK,,,,NA,,cigarette holder,,,ACCESSORIES,,0003274000,0.00,110.00,1,0.00,110.00
01212901 07,,BROWN,,,,NA,,glasses case,,,ACCESSORIES,,0003274100,0.00,79.00,1,0.00,79.00
01215401 58,,BURGANDY,,,,NA,,glasses case/phone case,,,ACCESSORIES,,0003274200,0.00,69.00,1,0.00,69.00
01220501 4F,,BROWN/OXBLOOD,,,,NA,,card/note wallet,,,WALLETS,,0003282300,0.00,85.00,0,0.00,0.00
01280444 17,,DARK BROWN,,,,NA,,card holder,,,WALLETS,,0003281600,0.00,33.00,1,0.00,33.00
01402301 14,,BROWN,,,,NA,,wallet,,,WALLETS,,0003277200,0.00,130.00,1,0.00,130.00
0140232F 6Z,,BLUE/BLK,,,,NA,,wallet,,,WALLETS,,0003280000,0.00,98.00,0,0.00,0.00
0140572F 6Z,,BLUE/BLK,,,,NA,,wallet,,,WALLETS,,0003277800,0.00,98.00,0,0.00,0.00
0142252G 2V,,TAN/BROWN,,,,NA,,wallet,,,WALLETS,,0003282200,0.00,95.00,1,0.00,95.00
01431401 58,,OXBLOOD,,,,NA,,wallet,,,WALLETS,,0003281500,0.00,110.00,0,0.00,0.00
01431501 4F,,BROWN/OXBLOOD,,,,NA,,wallet,,,WALLETS,,0003282600,0.00,88.00,0,0.00,0.00
01431501 5L,,BROWN/TAN,,,,NA,,wallet,,,WALLETS,,0003280800,0.00,88.00,1,0.00,88.00
01434501 5L,,BROWN/TAN,,,,NA,,wallet,,,WALLETS,,0003277600,0.00,96.00,0,0.00,0.00
01440501,,BROWN,,,,NA,,WALLET,,,WALLETS,,0002082900,42.00,109.20,0,0.00,0.00
0146262F 6V,,BRN/BLK,,,,NA,,wallet,,,WALLETS,,0003278200,0.00,120.00,1,0.00,120.00
0146362F 14,,BROWN,,,,NA,,wallet,,,WALLETS,,0003277300,0.00,120.00,0,0.00,0.00
0148063Q 5Z,,BLACK/BRN/GUNMETAL,,,,NA,,wallet,,,WALLETS,,0003279600,0.00,65.00,0,0.00,0.00
0148252R 3N,,DARK NAVY,,,,NA,,wallet,,,WALLETS,,0003278000,0.00,90.00,0,0.00,0.00
0172052R 3P,,DARK NAVY,,,,NA,,purse,,,PURSE,,0003276500,0.00,175.00,1,0.00,175.00
0172152R 3Q,,DARK BROWN,,,,NA,,purse,,,PURSE,,0003284200,0.00,149.90,0,0.00,0.00
01723479 71,,GREEN,,,,NA,,purse,,,PURSE,,0003274400,0.00,122.20,0,0.00,0.00
01724411 49,,CORAL,,,,NA,,purse,,,PURSE,,0003275100,0.00,165.00,1,0.00,165.00
01767101 14,,BROWN,,,,NA,,wallet,,,WALLETS,,0003281900,0.00,65.00,1,0.00,65.00
01767501 5A,,BROWN/ORANGE,,,,NA,,purse,,,PURSE,,0003277000,0.00,180.00,0,0.00,0.00
01778851 14,,BROWN,,,,NA,,purse,,,PURSE,,0003274300,0.00,122.20,1,0.00,122.20
01801901 14,,BROWN,,,,NA,,key holder wallet,,,ACCESSORIES,,0003273700,0.00,75.00,0,0.00,0.00
01911301 20,,BLACK,,,,NA,,large diary,,,ACCESSORIES,,0003273500,0.00,336.00,0,0.00,0.00
01914401 58,,OXBLOOD,,,,NA,,mini ipad cover,,,ACCESSORIES,,0003284700,0.00,150.00,1,0.00,150.00
034904 26 01 85,,DARK-BROWN,,,,XL,,belt,,,BELTS,,0003302106,0.00,120.00,1,0.00,120.00
036262 01 00,,DARK-BROWN,,,,XL,,belt,,,BELTS,,0003293106,0.00,130.00,0,0.00,0.00
0407051P,,BROWN,,,,NA,,LADIES HANDBAG,,,HANDBAGS,,0002083500,175.00,455.00,0,0.00,0.00
040715 1P 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002471700,193.00,501.80,1,193.00,501.80
040725 1P 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002475900,178.00,462.80,0,0.00,0.00
040735 1P 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002487500,164.00,426.40,1,164.00,426.40
040745 1P 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002476300,189.00,491.40,1,189.00,491.40
040755 1P 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002476400,194.00,504.40,1,194.00,504.40
041417 3T 3B NH,,STRAW BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477500,90.00,234.00,1,90.00,234.00
041447 3T 3B NH,,STRAW BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486600,126.00,327.60,1,126.00,327.60
04418201,,BROWN,,,,NA,,LADIES HANDBAG,,,HANDBAGS,,0002083900,128.00,332.80,0,0.00,0.00
04421801,,BROWN,,,,NA,,LADIES HANDBAG,,,HANDBAGS,,0002084100,340.00,884.00,0,0.00,0.00
044371 01 14,,BROWN,,,,NA,,BARREL BAG,,,HANDBAGS,,0003271600,0.00,380.00,1,0.00,380.00
044395 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002573700,92.30,240.00,1,92.30,240.00
044450,,BLACK/HIDE,,,,NA,,40X31X14 COW,,,HANDBAGS,,0000680800,278.00,695.00,0,0.00,0.00
044606 3R 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002479500,72.00,187.20,0,0.00,0.00
044626 3R 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002487600,67.00,174.20,1,67.00,174.20
0446863R 14,,BROWN,,,,NA,,makeup/accessories bag,,,ACCESSORIES,,0003272200,0.00,126.00,0,0.00,0.00
04595 41 58 NH,,CHIANTI RED,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477600,115.00,299.00,1,115.00,299.00
04716901,,BROWN,,,,NA,,LADIES HANDBAG,,,HANDBAGS,,0002084400,114.00,296.40,0,0.00,0.00
050725 2F 1U NH,,DARK BRN/PALLADIUM,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002498400,132.00,343.20,0,0.00,0.00
05122501,,BROWN,,,,NA,,MESSENGER,,,MESSENGER,,0002084700,207.00,538.20,0,0.00,0.00
051326 3L 5P NH,,BLACK/GUNMETAL,,,,NA,,MANBAG 2017,,,MAN BAG,,0002554200,57.00,148.20,1,57.00,148.20
051514 1W 1U NH,,BROWN T MORO,,,,NA,,MANBAG 2017,,,MAN BAG,,0002554400,127.00,330.20,0,0.00,0.00
051705 1P 14 NH,,BROWN/GOLD,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002500400,282.00,733.20,1,282.00,733.20
052005 3D 3M NH,,ROYAL BLUE/GUNMETAL,,,,NA,,MANBAG 2017,,,MAN BAG,,0002559500,79.00,205.40,1,79.00,205.40
052015 3D 3M NH,,ROYAL BLUE/GUNMETAL,,,,NA,,MANBAG 2017,,,MAN BAG,,0002554500,82.00,213.20,1,82.00,213.20
052025 3D 3M NH,,ROYAL BLUE/GUNMETAL,,,,NA,,MANBAG 2017,,,MAN BAG,,0002554600,88.00,228.80,1,88.00,228.80
052035 3D 3L NH,,BEIGE/DRK BRN/GUNMETAL,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002500500,176.00,457.60,1,176.00,457.60
052035 3D 3L NH,,GRAY/BRN,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002573100,176.00,457.60,1,176.00,457.60
052204 01 14 NH,,BROWN,,,,NA,,MANBAG 2017,,,MAN BAG,,0002573600,110.00,286.00,0,0.00,0.00
052757 01 14,,BROWN,,,,NA,,satchel,,,LUGGAGE,,0002634200,0.00,459.00,0,0.00,0.00
053030,,NAVY/HIDE,,,,NA,,MAN BAG,,,MAN BAG,,0000681600,224.00,561.00,1,224.00,561.00
054053 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,MANBAG 2017,,,MAN BAG,,0002556900,87.00,226.20,1,87.00,226.20
054073 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002499400,116.00,301.60,1,116.00,301.60
054106 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002479600,79.00,205.40,1,79.00,205.40
054116 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,MANBAG 2017,,,MAN BAG,,0002557000,88.00,228.80,0,0.00,0.00
054136 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002496600,121.00,314.60,1,121.00,314.60
05420501,,BROWN,,,,NA,,messenger,,,MESSENGER,,0002084800,159.00,413.40,0,0.00,0.00
0550441P,,BROWN,,,,NA,,MESSENGER,,,MESSENGER,,0002084900,296.00,769.60,1,296.00,769.60
060417 3Z 5S NH,,BRN/GREEN/PALLADIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002497800,188.00,488.80,0,0.00,0.00
061035 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002573500,160.00,416.00,0,0.00,0.00
06123501,,BROWN,,,,NA,,BACK PACK,,,LUGGAGE,,0002085000,242.00,629.20,0,0.00,0.00
06124501,,BROWN,,,,NA,,MENS BAG,,,MAN BAG,,0002085100,248.00,644.80,0,0.00,0.00
061326 3L 86 NH,,BLACK/GUNMETAL,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002567300,89.00,231.40,0,0.00,0.00
061506 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002493900,137.00,356.20,0,0.00,0.00
061507 3Q 6W NH,,BLK/NAVY BLUE/GUNMETAL,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002499500,104.00,270.40,1,104.00,270.40
061517 3Q 6W NH,,BLK/NAVY BLUE/GUNMETAL,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002566200,129.00,335.40,1,129.00,335.40
061536 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002569600,169.00,439.40,0,0.00,0.00
061546 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002569700,162.00,421.20,0,0.00,0.00
061556 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002566700,134.00,348.40,0,0.00,0.00
061556 3Q 86 NH,,BLACK,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002568200,134.00,348.40,1,134.00,348.40
061705 1P 14 NH,,BROWN/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486700,320.00,832.00,0,0.00,0.00
0617251P,,BROWN,,,,NA,,WORKING BAG,,,LUGGAGE,,0002085300,413.00,"1,073.80",0,0.00,0.00
062104 1O 90 NH,,BROWN/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002473700,169.00,439.40,0,0.00,0.00
062114 1O 14 NH,,BROWN/GOLD,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002495900,183.00,475.80,0,0.00,0.00
062124 1O 90 NH,,BROWN/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002476500,193.00,501.80,0,0.00,0.00
063210,,NAVY/HIDE,,,,NA,,MAN BAG COW,,,BRIEFCASE,,0000681700,284.00,712.00,2,568.00,"1,424.00"
064071 2F 20 NH,,BLACK/PALLADIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002496000,128.00,332.80,2,256.00,665.60
064071 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002498000,128.00,332.80,0,0.00,0.00
064071 2F 6U NH,,BLUE/BRN/RUTHENIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002497100,128.00,332.80,0,0.00,0.00
064126 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002498100,135.00,351.00,0,0.00,0.00
06418501,,BROWN,,,,NA,,BRIEFCASE,,,BRIEFCASE,,0002085400,309.00,803.40,0,0.00,0.00
06422501,,BROWN,,,,NA,,MESSENGER,,,MESSENGER,,0002085600,180.00,468.00,1,180.00,468.00
064474 1H 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002481300,211.00,548.60,1,211.00,548.60
06447901,,BROWN,,,,NA,,BRIEFCASE,,,BRIEFCASE,,0002085700,298.00,774.80,1,298.00,774.80
06468501,,BROWN,,,,NA,,BRIEFCASE,,,BRIEFCASE,,0002085800,248.00,644.80,1,248.00,644.80
065004 1P 1B NH,,DARK BRN/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002481400,294.00,764.40,1,294.00,764.40
065004 1P 1D NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002573000,294.00,764.40,1,294.00,764.40
0650041P,,BROWN,,,,NA,,MAN BAG,,,MAN BAG,,0002085900,294.00,764.40,1,294.00,764.40
065034 1P 1C NH,,OLIVE GREEN/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002569900,367.00,954.20,1,367.00,954.20
0650641P,,BROWN,,,,NA,,MAN BAG,,,MAN BAG,,0002086000,467.00,"1,214.20",1,467.00,"1,214.20"
065074 1P 1A NH,,DARK BRN/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002570000,453.00,"1,177.80",0,0.00,0.00
065074 1P 1C NH,,OLIVE GREEN/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002570100,453.00,"1,177.80",1,453.00,"1,177.80"
065074 1P 2K NH,,RAIN BLUE,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002570200,453.00,"1,177.80",1,453.00,"1,177.80"
070705 2F 2Z NH,,BLUE/BRN,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002572800,193.00,501.80,1,193.00,501.80
071507 3Q 6W NH,,BLK/NAVY BLUE/GUNMETAL,,,,NA,,MANBAG 2017,,,MAN BAG,,0002559700,60.00,156.00,0,0.00,0.00
071517 3Q 6W NH,,BLK/NAVY BLUE/GUNMETAL,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002570800,175.00,455.00,0,0.00,0.00
07300501,,BROWN,,,,NA,,HOLDALL,,,LUGGAGE,,0001500700,222.00,555.00,0,0.00,0.00
074106 2F 6T NH,,BRN/BLUE/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002570900,165.00,429.00,0,0.00,0.00
07431501,,BROWN,,,,NA,,GLADSTONE BAG,,,LUGGAGE,,0002086100,412.00,"1,071.20",0,0.00,0.00
074538,,BROWN/HIDE,,,,NA,,HOLDALL COW,,,LUGGAGE,,0000682800,341.00,854.00,0,0.00,0.00
075612 01 14,,BROWN,,,,NA,,suit carrier,,,LUGGAGE,,0003703300,0.00,"1,999.99",0,0.00,0.00
088216 01,,BROWN,,,,NA,,hat box,,,NA,,0003580200,0.00,"1,499.99",0,0.00,0.00
09100601 14,,BROWN,,,,NA,,grooming case,,,ACCESSORIES,,0003285100,0.00,79.95,1,0.00,79.95
09140679 30,,DARK NAVY,,,,NA,,accessories bag,,,ACCESSORIES,,0003273000,0.00,70.00,1,0.00,70.00
09141679 5B,,ORANGE,,,,NA,,accessories bag,,,ACCESSORIES,,0003272800,0.00,80.00,1,0.00,80.00
09141679 6C,,LIME,,,,NA,,accessories bag,,,ACCESSORIES,,0003272700,0.00,80.00,1,0.00,80.00
091525 01 2B NH,,TAN,,,,NA,,KEYRING 2017,,,ACCESSORIES,,0002580800,30.00,80.00,0,0.00,0.00
091615 01 2E NH,,RED CURRENT/GOLD,,,,NA,,KEYRING 2017,,,ACCESSORIES,,0002580900,36.00,95.00,0,0.00,0.00
091625 01 2E NH,,RED CURRENT/GOLD,,,,NA,,KEYRING BRIDGE 2017,,,ACCESSORIES,,0002578700,62.00,162.00,0,0.00,0.00
092181 51 09 NH,,IRON BLUE,,,,NA,,KEYRING 2017,,,ACCESSORIES,,0002580600,26.00,68.00,0,0.00,0.00
092191 51 10 NH,,WHITE,,,,NA,,KEYRING 2017,,,ACCESSORIES,,0002579600,22.00,57.20,1,22.00,57.20
092191 51 20 NH,,BLACK,,,,NA,,KEYRING 2017,,,ACCESSORIES,,0002579700,22.00,57.20,1,22.00,57.20
0974162F 30,,DARK NAVY,,,,NA,,accessories bag,,,ACCESSORIES,,0003273100,0.00,75.00,0,0.00,0.00
0974262F 6F,,RED,,,,NA,,accessories bag,,,ACCESSORIES,,0003272300,0.00,90.00,1,0.00,90.00
11231 31 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002576500,32.00,83.20,0,0.00,0.00
14231 31 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002576800,40.00,104.00,1,40.00,104.00
14241 31 58 NH,,RED,,,,NA,,WALLET 2017,,,WALLETS,,0002579500,41.00,106.60,1,41.00,106.60
14346 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002575300,37.00,96.20,1,37.00,96.20
14409 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002577100,54.00,140.40,1,54.00,140.40
14516 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002575600,38.00,98.80,1,38.00,98.80
14825 98 84 NH,,BROWN/GUNMETAL,,,,NA,,WALLET 2017,,,WALLETS,,0002575800,30.00,78.00,0,0.00,0.00
14944 26 1V NH,,BLUE/GUNMETAL,,,,NA,,WALLET 2017,,,WALLETS,,0002576100,51.00,132.60,0,0.00,0.00
15066 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002577400,54.00,140.40,1,54.00,140.40
15506 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002576200,38.00,98.80,1,38.00,98.80
17224 31 17 NH,,DARK-BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002577500,60.00,156.00,1,60.00,156.00
17236 79 14 NH,,BROWN,,,,NA,,PURSE 2017,,,PURSE,,0002573900,47.00,122.20,0,0.00,0.00
17711 31 17 NH,,DARK-BROWN,,,,NA,,PURSE 2017,,,PURSE,,0002574800,68.00,176.80,1,68.00,176.80
17718 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002578000,58.00,150.80,1,58.00,150.80
17747 31 06 NH,,RED,,,,NA,,PURSE 2017,,,PURSE,,0002579300,60.00,156.00,0,0.00,0.00
17747 79 48 NH,,CLAY,,,,NA,,PURSE 2017,,,PURSE,,0002575100,58.00,150.80,1,58.00,150.80
19215 01 14 NH,,BROWN,,,,NA,,WALLET 2017,,,WALLETS,,0002576300,38.00,98.80,0,0.00,0.00
40217 79 7B NH,,NUDE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002480600,96.00,249.60,0,0.00,0.00
40506 85 5F NH,,DUSTY ROSE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002478700,105.00,273.00,1,105.00,273.00
40546 85 5F NH,,DUSTY ROSE/GOLD,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002565600,158.00,410.80,1,158.00,410.80
40734 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002487900,241.00,626.60,1,241.00,626.60
40906 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002481700,116.00,301.60,1,116.00,301.60
40915 79 61 NH,,GREEN MOSS/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002475100,128.00,332.80,0,0.00,0.00
