reference,ean,mpn,upc,product_id,parent_product_id,stock,total_sold,stock_cost_ex,stock_cost_inc,cost_price_import_tax,actual_cost_price_ex,actual_cost_price_inc,price_inc,price_ex,price_sale_inc,price_sale_ex,price_rrp_inc,price_rrp_ex,cost_price_inc,cost_price_ex,name,title,parent_title,parent_reference,attribute_summary,model,product_url,num_sold_period,avg_sold_period,weeks_cover,bundled
0004365306,5061042995063,,,18980,6175,9,,,,,,,159.000,132.500,49.000,40.833,0.000,0.000,,,ASHWOOD,"Womens Leather Biker Jacket Coffee: 2810","Womens Leather Biker Jacket Coffee: 2810",00043653,"Size: 18",2810,ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175,2,0.04,234,N
0004369900,,,,19002,6197,9,,,,,,,45.000,37.500,45.000,37.500,0.000,0.000,,,ASHWOOD,"Mens Leather Wash Bag Brandy : Duff","Mens Leather Wash Bag Brandy : Duff",00043699,"Size: One Size",DUFF,mens-c4/mens-leather-wash-bag-brandy-duff-p6197,8,0.15,59,N
0004392500,,,,19167,6297,9,,,,,,,79.950,66.625,79.950,66.625,0.000,0.000,,,ASHWOOD,"Unisex Medium Luxury Leather Sling Bag Tan : G-39","Unisex Medium Luxury Leather Sling Bag Tan : G-39",00043925,"Size: One Size",G-39,ladies-c3/unisex-medium-luxury-leather-sling-bag-tan-g-39-p6297,1,0.02,469,N
0004413400,5061027910340,,,19301,6351,9,,,,,,,129.950,108.292,90.965,75.804,0.000,0.000,,,GABICCI,"Mens Leather Laptop Messenger Bag Chestnut: Joe","Mens Leather Laptop Messenger Bag Chestnut: Joe",00044134,"Size: One Size","GB JOE",ladies-c3/mens-leather-laptop-messenger-bag-chestnut-joe-p6351,2,0.04,234,N
0004469000,,,,19618,6454,9,,,,,,,45.000,37.500,45.000,37.500,0.000,0.000,,,Fenland,"Fenland Hot Water Bottle Cover Duck Egg:FF-MINI HWB","Fenland Hot Water Bottle Cover Duck Egg:FF-MINI HWB",00044690,"Size: One Size","FF-MINI HWB COVER",home-living-c65/sheepskin-hot-water-bottle-cover-c168/fenland-hot-water-bottle-cover-duck-egg-ff-mini-hwb-p6454,0,0,0,N
0004471500,5061042994912,,,19976,6671,9,,,,,,,169.950,141.625,120.000,100.000,0.000,0.000,,,ASHWOOD,"Mens Large Travel Holdall Blk/croc : Paddington","Mens Large Travel Holdall Blk/croc : Paddington",00044715,"Size: One Size",paddington,luggage-c7/mens-large-travel-holdall-blk-croc-paddington-p6671,1,0.02,469,N
0004528700,5061042994929,,,20071,6741,9,,,,,,,65.000,54.167,65.000,54.167,0.000,0.000,,,ASHWOOD,"Ashwood Leather Travel Bag – Brown: FE04","Ashwood Leather Travel Bag – Brown: FE04",00045287,"Size: One Size",fe-04,ladies-c3/ashwood-leather-travel-bag-brown-fe04-p6741,5,0.1,94,N
0004526000,,,,20078,6748,9,,,,,,,45.000,37.500,45.000,37.500,0.000,0.000,,,ASHWOOD,"Ashwood Leather Medium Flight Bag Chestnut Tan: T-71","Ashwood Leather Medium Flight Bag Chestnut Tan: T-71",00045260,"Size: One Size",t-71,mens-c4/ashwood-leather-medium-flight-bag-chestnut-tan-t-71-p6748,13,0.25,36,N
0004526600,,,,20081,6751,9,,,,,,,75.000,62.500,75.000,62.500,0.000,0.000,,,ASHWOOD,"Ashwood Leather Messenger Bag – Black: T-73","Ashwood Leather Messenger Bag – Black: T-73",00045266,"Size: One Size",t-73,ladies-c3/ashwood-leather-messenger-bag-black-t-73-p6751,0,0,0,N
0004557800,5060999700508,,,20288,6849,9,,,,,,,49.990,41.658,49.990,41.658,0.000,0.000,,,ASHWOOD,"Rosea Flap Over Croc Print Real Leather Shoulder Bag Black/croc: MC6","Rosea Flap Over Croc Print Real Leather Shoulder Bag Black/croc: MC6",00045578,"Size: One Size","mc 6",ladies-c3/rosea-flap-over-croc-print-real-leather-shoulder-bag-black-croc-mc6-p6849,0,0,0,N
