Style,Colour,Size,Description,Category,PLU,Unit Cost,Unit Retail,Units,Brand
AL FRANCO,BLACK,M,criss cross safari,MENS JACKETS,0001727504,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,L,criss cross safari,MENS JACKETS,0001727505,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,XL,criss cross safari,MENS JACKETS,0001727506,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,2XL,criss cross safari,MENS JACKETS,0001727507,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,3XL,criss cross safari,MENS JACKETS,0001727508,70.00,369.00,0,AL FRANCO
19-149,BLACK,,handbag,HANDBAGS,0004119100,12.00,89.99,0,ASHWOOD
19-149,BRIDGE,,handbag,HANDBAGS,0004119400,12.00,89.99,0,ASHWOOD
19-149,NAVY,,handbag,HANDBAGS,0004119300,12.00,89.99,0,ASHWOOD
19-149,RED,,handbag,HANDBAGS,0004119200,12.00,89.99,0,ASHWOOD
52188,RED/VT,,REINDEER,HANDBAGS,0002390400,0.00,120.00,0,ASHWOOD
62122,MERLOT,,Handbag,HANDBAGS,0003270000,0.00,99.00,0,ASHWOOD
FO-303,COGNAC,S,blouson style,MENS JACKETS,0003544403,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,M,blouson style,MENS JACKETS,0003544404,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,L,blouson style,MENS JACKETS,0003544405,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,XL,blouson style,MENS JACKETS,0003544406,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,2XL,blouson style,MENS JACKETS,0003544407,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,3XL,blouson style,MENS JACKETS,0003544408,0.00,239.00,0,ASHWOOD
FO-303,COGNAC,4XL,blouson style,MENS JACKETS,0003544409,0.00,259.00,0,ASHWOOD
FO-303,COGNAC,5XL,blouson style,MENS JACKETS,0003544410,0.00,279.00,0,ASHWOOD
FO-303,COGNAC,6XL,blouson style,MENS JACKETS,0003544411,0.00,299.00,0,ASHWOOD
LP 27,BLACK,12,ladies s/skin,LADIES S/SKIN,0003829403,0.00,569.00,0,ASHWOOD
LP 27,BLACK,14,ladies s/skin,LADIES S/SKIN,0003829404,0.00,569.00,0,ASHWOOD
LP 27,BLACK,16,ladies s/skin,LADIES S/SKIN,0003829405,0.00,569.00,0,ASHWOOD
LP 27,BLACK,18,ladies s/skin,LADIES S/SKIN,0003829406,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,10,ladies s/skin,LADIES S/SKIN,0004259102,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,12,ladies s/skin,LADIES S/SKIN,0004259103,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,16,ladies s/skin,LADIES S/SKIN,0004259105,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,18,ladies s/skin,LADIES S/SKIN,0004259106,0.00,569.00,0,ASHWOOD
LP 27,INK BLUE,12,ladies s/skin,LADIES S/SKIN,0003834203,0.00,569.00,0,ASHWOOD
LP 27,KHAKI,12,ladies s/skin,LADIES S/SKIN,0003830603,0.00,569.00,0,ASHWOOD
LP 27,ROYAL BLUE,12,ladies s/skin,LADIES S/SKIN,0003831803,0.00,569.00,0,ASHWOOD
LP 27,TABAK,12,ladies s/skin,LADIES S/SKIN,0003833003,0.00,569.00,0,ASHWOOD
LP 27,TABAK,20,ladies s/skin,LADIES S/SKIN,0003833007,0.00,589.00,0,ASHWOOD
M-58,COGNAC,ONE SIZE,holdall,LUGGAGE,0003909900,0.00,150.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,10,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036502,67.00,169.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,16,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036505,67.00,169.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,20,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036507,67.00,189.00,0,ASHWOOD
NINNA-2013,GRAY,10,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037702,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,14,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037704,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,18,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037706,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,20,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037707,67.00,189.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,S,BOX JACKET LAMB,MENS JACKETS,0001761703,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,M,BOX JACKET LAMB,MENS JACKETS,0001761704,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,L,BOX JACKET LAMB,MENS JACKETS,0001761705,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,XL,BOX JACKET LAMB,MENS JACKETS,0001761706,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,2XL,BOX JACKET LAMB,MENS JACKETS,0001761707,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,3XL,BOX JACKET LAMB,MENS JACKETS,0001761708,99.00,269.00,0,ASHWOOD
007,BLK/SHIRAZ,S,ladies gloves,GLOVES,0002874600,0.00,29.99,0,ASHWOOD
007,BLK/TAN,S,ladies gloves,GLOVES,0002875000,0.00,29.99,0,ASHWOOD
018S,TOBACCO,M,s/skin hat,HATS,0003564004,0.00,94.99,0,ASHWOOD
018S,TOBACCO,L,s/skin hat,HATS,0003564005,0.00,94.99,0,ASHWOOD
018S,TOBACCO,XL,s/skin hat,HATS,0003564006,0.00,94.99,0,ASHWOOD
018S,TOBACCO,2XL,s/skin hat,HATS,0003564007,0.00,94.99,0,ASHWOOD
030-T,BLACK,M,s/skin/material hats,HATS,0003556104,0.00,59.99,0,ASHWOOD
030-T,BLACK,L,s/skin/material hats,HATS,0003556105,0.00,59.99,0,ASHWOOD
030-T,BLACK,XL,s/skin/material hats,HATS,0003556106,0.00,59.99,0,ASHWOOD
030-T,BLACK,2XL,s/skin/material hats,HATS,0003556107,0.00,59.99,0,ASHWOOD
034,GRAY,S/M,SHEEPSKIN HAT,HATS,0003882100,0.00,59.99,0,ASHWOOD
034,GRAY,L/XL,SHEEPSKIN HAT,HATS,0003882101,0.00,59.99,0,ASHWOOD
034,LT BRN BRISSA,S/M,SHEEPSKIN HAT,HATS,0003881800,0.00,59.99,0,ASHWOOD
034,LT BRN BRISSA,L/XL,SHEEPSKIN HAT,HATS,0003881801,0.00,59.99,0,ASHWOOD
0479,CREAM,8,APACHI TROUSERS,LADIES JEANS,0003635101,0.00,110.00,0,ASHWOOD
0479,CREAM,10,APACHI TROUSERS,LADIES JEANS,0003635102,0.00,110.00,0,ASHWOOD
0479,CREAM,12,APACHI TROUSERS,LADIES JEANS,0003635103,0.00,110.00,0,ASHWOOD
0479,CREAM,14,APACHI TROUSERS,LADIES JEANS,0003635104,0.00,110.00,0,ASHWOOD
055,BLACK,M,ladies glove,GLOVES,0002882601,0.00,29.99,0,ASHWOOD
055,BLACK,L,ladies glove,GLOVES,0002882602,0.00,29.99,0,ASHWOOD
055,LT.TAN,S,ladies glove,GLOVES,0002883000,0.00,29.99,0,ASHWOOD
055,LT.TAN,M,ladies glove,GLOVES,0002883001,0.00,29.99,0,ASHWOOD
055,LT.TAN,L,ladies glove,GLOVES,0002883002,0.00,29.99,0,ASHWOOD
10157,BROWN,10,2 BUTTON BLAZER,LADIES JACKETS,0001581902,63.00,189.00,0,ASHWOOD
10157,BROWN,12,2 BUTTON BLAZER,LADIES JACKETS,0001581903,63.00,189.00,0,ASHWOOD
10157,BROWN,14,2 BUTTON BLAZER,LADIES JACKETS,0001581904,63.00,189.00,0,ASHWOOD
10157,BROWN,16,2 BUTTON BLAZER,LADIES JACKETS,0001581905,63.00,189.00,0,ASHWOOD
10157,BROWN,18,2 BUTTON BLAZER,LADIES JACKETS,0001581906,63.00,189.00,0,ASHWOOD
10157,BROWN,20,2 BUTTON BLAZER,LADIES JACKETS,0001581907,63.00,209.00,0,ASHWOOD
10157,TAN,10,2 BUTTON BLAZER,LADIES JACKETS,0001535302,63.00,189.00,0,ASHWOOD
10157,TAN,12,2 BUTTON BLAZER,LADIES JACKETS,0001535303,63.00,189.00,0,ASHWOOD
10157,TAN,14,2 BUTTON BLAZER,LADIES JACKETS,0001535304,63.00,189.00,0,ASHWOOD
10157,TAN,16,2 BUTTON BLAZER,LADIES JACKETS,0001535305,63.00,189.00,0,ASHWOOD
10157,TAN,18,2 BUTTON BLAZER,LADIES JACKETS,0001535306,63.00,189.00,0,ASHWOOD
10157,TAN,20,2 BUTTON BLAZER,LADIES JACKETS,0001535307,63.00,209.00,0,ASHWOOD
103,BLACK,S/M,rabbit fur gloves,GLOVES,0004100400,0.00,39.99,0,ASHWOOD
103,BLACK,M/L,rabbit fur gloves,GLOVES,0004100401,0.00,39.99,0,ASHWOOD
103 F,BLACK/BRISSA,ONE SIZE,ladies s/skin hat,HATS,0003560900,0.00,140.00,0,ASHWOOD
104,BROWN,S,LADIES GLOVES,GLOVES,0000302903,14.95,39.99,0,ASHWOOD
104,BROWN,M,LADIES GLOVES,GLOVES,0000302904,14.95,39.99,0,ASHWOOD
104,BROWN,L,LADIES GLOVES,GLOVES,0000302905,14.95,39.99,0,ASHWOOD
104 F,BLACK/BRISSA,ONE SIZE,ladies s/skin hat,HATS,0003560700,0.00,110.00,0,ASHWOOD
104 F,TAN,ONE SIZE,ladies s/skin hat,HATS,0003560600,0.00,110.00,0,ASHWOOD
109,LT.TAN,S,LADIES GLOVES,GLOVES,0002893403,9.95,29.99,0,ASHWOOD
109,LT.TAN,M,LADIES GLOVES,GLOVES,0002893404,9.95,29.99,0,ASHWOOD
109,LT.TAN,L,LADIES GLOVES,GLOVES,0002893405,9.95,29.99,0,ASHWOOD
109,PURPLE,S,LADIES GLOVES,GLOVES,0000238503,9.95,29.99,0,ASHWOOD
109,PURPLE,M,LADIES GLOVES,GLOVES,0000238504,9.95,29.99,0,ASHWOOD
109,PURPLE,L,LADIES GLOVES,GLOVES,0000238505,9.95,29.99,0,ASHWOOD
109,SHIRAZ,S,LADIES GLOVES,GLOVES,0002892003,9.95,29.99,0,ASHWOOD
109,SHIRAZ,M,LADIES GLOVES,GLOVES,0002892004,9.95,29.99,0,ASHWOOD
1123 LONG,BLACK/NAP,8,DB FULL LENGTH SHEEP,LADIES JACKETS,0000677001,139.00,349.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,S,SAFARI STYLE BUFFALO,MENS JACKETS,0001093603,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,M,SAFARI STYLE BUFFALO,MENS JACKETS,0001093604,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,L,SAFARI STYLE BUFFALO,MENS JACKETS,0001093605,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0001093606,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0001093607,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0001093608,79.00,219.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/TAN,M,SAFARI STYLE BUFFALO,MENS JACKETS,0003320504,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/TAN,L,SAFARI STYLE BUFFALO,MENS JACKETS,0003320505,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/TAN,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003320506,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/TAN,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003320507,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/TAN,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003320508,79.00,279.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,XS,SAFARI STYLE BUFFALO,MENS JACKETS,0000125102,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,S,SAFARI STYLE BUFFALO,MENS JACKETS,0000125103,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,M,SAFARI STYLE BUFFALO,MENS JACKETS,0000125104,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,L,SAFARI STYLE BUFFALO,MENS JACKETS,0000125105,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000125106,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000125107,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000125108,79.00,219.00,0,ASHWOOD
1129-CONTRAST SAFARI,CAMEL/NUB,4XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000125109,79.00,239.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,XS,SAFARI STYLE BUFFALO,MENS JACKETS,0000126502,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,S,SAFARI STYLE BUFFALO,MENS JACKETS,0000126503,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,M,SAFARI STYLE BUFFALO,MENS JACKETS,0000126504,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,L,SAFARI STYLE BUFFALO,MENS JACKETS,0000126505,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000126506,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000126508,79.00,219.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,4XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000126509,79.00,239.00,0,ASHWOOD
1129-CONTRAST SAFARI,DARK BROWN/NUB,5XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000126510,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,XS,SAFARI STYLE BUFFALO,MENS JACKETS,0000123702,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,S,SAFARI STYLE BUFFALO,MENS JACKETS,0000123703,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,M,SAFARI STYLE BUFFALO,MENS JACKETS,0000123704,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,L,SAFARI STYLE BUFFALO,MENS JACKETS,0000123705,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000123706,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000123707,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000123708,79.00,219.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,4XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000123709,79.00,239.00,0,ASHWOOD
1129-CONTRAST SAFARI,OLIVE/NUB,5XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000123710,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/BROWN,M,SAFARI STYLE BUFFALO,MENS JACKETS,0003319004,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/BROWN,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003319006,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/BROWN,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003319007,79.00,259.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/BROWN,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0003319008,79.00,279.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,XS,SAFARI STYLE BUFFALO,MENS JACKETS,0000122302,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,S,SAFARI STYLE BUFFALO,MENS JACKETS,0000122303,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,M,SAFARI STYLE BUFFALO,MENS JACKETS,0000122304,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,L,SAFARI STYLE BUFFALO,MENS JACKETS,0000122305,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000122306,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,2XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000122307,79.00,199.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,3XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000122308,79.00,219.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,4XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000122309,79.00,239.00,0,ASHWOOD
1129-CONTRAST SAFARI,TAN/NUB,5XL,SAFARI STYLE BUFFALO,MENS JACKETS,0000122310,79.00,259.00,0,ASHWOOD
12088,BLACK,,buff croc,HANDBAGS,0001991000,10.00,89.00,0,ASHWOOD
1211 BG,BLACK/GREY/WAXY,,CLASSIC CARD WALLET,WALLETS,0000083200,5.95,19.99,0,ASHWOOD
1211 BT,BROWN/TAN/WASH,,CLASSIC CARD WALLET,WALLETS,0000082600,5.95,19.99,0,ASHWOOD
1211 D,BROWN/WAXY,,CLASSIC CARD WALLET,WALLETS,0000085400,4.95,19.99,0,ASHWOOD
1222 BG,BLACK/GREY/WAXY,,CLASSIC FOLD WALLET,WALLETS,0000083800,5.50,19.99,0,ASHWOOD
1222 BT,BROWN/TAN/WASH,,CLASSIC FOLD WALLET,WALLETS,0000082700,5.50,19.99,0,ASHWOOD
1222 D,BLACK/WAXY,,CLASSIC FOLD WALLET,WALLETS,0000085500,4.50,19.99,0,ASHWOOD
1222 D,BROWN/WAXY,,CLASSIC FOLD WALLET,WALLETS,0000085600,4.50,19.99,0,ASHWOOD
1222-VT,BROWN,,STUD FASTEN NOTE ZIP 3 CARD,WALLETS,0001023400,7.90,19.99,0,ASHWOOD
1246 BG,BLACK/GREY/WAXY,,FLIPSIDE BILL FOLD,WALLETS,0000083900,8.50,29.99,0,ASHWOOD
1246 BT,BROWN/TAN/WASH,,FLIPSIDE BILL FOLD,WALLETS,0000082800,8.50,29.99,0,ASHWOOD
1246 D,BROWN/WAXY,,BILL FOLD,WALLETS,0000086000,7.75,29.99,0,ASHWOOD
1246 S,BLACK/SMO,,FLIPSIDE BILL FOLD,WALLETS,0000081800,7.75,29.99,0,ASHWOOD
1246 S,BROWN/SMO,,FLIPSIDE BILL FOLD,WALLETS,0000081900,7.75,29.99,0,ASHWOOD
1251,BLACK/NAP,XS,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119502,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,S,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119503,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,M,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119504,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,L,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119505,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119506,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,2XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119507,79.00,199.00,0,ASHWOOD
1251,BLACK/NAP,3XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119508,79.00,219.00,0,ASHWOOD
1251,BLACK/NAP,4XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000119509,79.00,239.00,0,ASHWOOD
1251,BORDUEX/NAP,XS,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192302,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,S,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192303,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,M,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192304,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,L,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192305,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192306,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,2XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192307,79.00,199.00,0,ASHWOOD
1251,BORDUEX/NAP,3XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192308,79.00,219.00,0,ASHWOOD
1251,BORDUEX/NAP,4XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000192309,79.00,239.00,0,ASHWOOD
1251,BROWN/NAP,XS,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118102,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,S,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118103,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,M,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118104,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,L,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118105,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118106,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,2XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118107,79.00,199.00,0,ASHWOOD
1251,BROWN/NAP,3XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118108,79.00,219.00,0,ASHWOOD
1251,BROWN/NAP,4XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000118109,79.00,239.00,0,ASHWOOD
1251,GRAY/NAP,S,LOOSE BRANDO  SHEEP,MENS JACKETS,0000120903,79.00,199.00,0,ASHWOOD
1251,GRAY/NAP,XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000120906,79.00,199.00,0,ASHWOOD
1251,GRAY/NAP,3XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000120908,79.00,219.00,0,ASHWOOD
1251,GRAY/NAP,4XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000120909,79.00,239.00,0,ASHWOOD
1251,GRAY/NAP,5XL,LOOSE BRANDO  SHEEP,MENS JACKETS,0000120910,79.00,259.00,0,ASHWOOD
1251,TAN,S,LOOSE BRANDO  SHEEP,MENS JACKETS,0001259103,79.00,199.00,0,ASHWOOD
1251,TAN,M,LOOSE BRANDO  SHEEP,MENS JACKETS,0001259104,79.00,199.00,0,ASHWOOD
1258 BG,BLACK/GREY/WAXY,,BILL FOLD,WALLETS,0000083700,7.95,29.99,0,ASHWOOD
1258 BT,BROWN/TAN/WASH,,BILL FOLD,WALLETS,0000082900,7.95,29.99,0,ASHWOOD
1258 D,BLACK/WAXY,,BILL FOLD,WALLETS,0000086100,7.00,29.99,0,ASHWOOD
1258 D,BROWN/WAXY,,BILL FOLD,WALLETS,0000086200,7.00,29.99,0,ASHWOOD
1258 S,BROWN/SMO,,BILL FOLD,WALLETS,0000082000,7.00,29.99,0,ASHWOOD
1265 BG,BLACK/GREY/WAXY,,TRI-FOLD,WALLETS,0000084000,5.95,19.99,0,ASHWOOD
1265 BT,BROWN/TAN/WASH,,TRI FOLD,WALLETS,0000083000,5.95,19.99,0,ASHWOOD
1265 D,BLACK/WAXY,,TRI-FOLD,WALLETS,0000086300,4.95,19.99,0,ASHWOOD
1265 D,BROWN/WAXY,,TRI-FOLD,WALLETS,0000086400,4.95,19.99,0,ASHWOOD
1265-VT,BLACK,,CARD WALLET 9 CARD ZIP,WALLETS,0001024500,7.90,19.99,0,ASHWOOD
1265-VT,TAN,,CARD WALLET 9 CARD ZIP,WALLETS,0001024700,7.90,19.99,0,ASHWOOD
1290 BT,BROWN/TAN/WASH,,CARD HOLDER,WALLETS,0000083100,4.50,14.99,0,ASHWOOD
1290 D,BLACK/WAXY,,CARD HOLDER,WALLETS,0000086900,3.95,14.99,0,ASHWOOD
1290 D,BROWN/WAXY,,CARD HOLDER,WALLETS,0000087000,3.95,14.99,0,ASHWOOD
1290 S,BLACK/SMO,,CARD HOLDER,WALLETS,0000082400,3.95,14.99,0,ASHWOOD
1290 S,BROWN/SMO,,CARD HOLDER,WALLETS,0000082500,3.95,14.99,0,ASHWOOD
1298 D,BLACK/WAXY,,TRAVEL ORGANISER,WALLETS,0000087100,12.00,39.99,0,ASHWOOD
1298 D,BROWN/WAXY,,TRAVEL ORGANISER,WALLETS,0000087200,12.00,39.99,0,ASHWOOD
1299-VT,BLACK,,breast wallet,WALLETS,0001901100,15.00,34.99,0,ASHWOOD
1299-VT,BROWN,,breast wallet,WALLETS,0001901200,15.00,34.99,0,ASHWOOD
1299-VT,TAN,,breast wallet,WALLETS,0001901300,15.00,34.99,0,ASHWOOD
1321,BLACK,,ashwood bags,HANDBAGS,0003747000,0.00,69.00,0,ASHWOOD
1321,GRAY,,ashwood bags,HANDBAGS,0003747100,0.00,69.00,0,ASHWOOD
1321,NAVY,,ashwood bags,HANDBAGS,0003747200,0.00,69.00,0,ASHWOOD
1331,BROWN,,BACKPACK,LUGGAGE,0003859400,52.00,130.00,0,ASHWOOD
1331,TAN,,BACKPACK,LUGGAGE,0003859300,52.00,130.00,0,ASHWOOD
1332,BROWN,,MANBAG,MAN BAG,0003859600,24.00,60.00,0,ASHWOOD
1332,RUST,,MANBAG,MAN BAG,0002582200,24.00,60.00,0,ASHWOOD
1333,BROWN,,MANBAG,MAN BAG,0003859800,28.00,70.00,0,ASHWOOD
1333,NAVY,,MANBAG,MAN BAG,0002581300,28.00,70.00,0,ASHWOOD
1333,RUST,,MANBAG,MAN BAG,0002581200,28.00,70.00,0,ASHWOOD
1334,BROWN,,SATCHEL,LUGGAGE,0003860000,64.00,160.00,0,ASHWOOD
1334,NAVY,,SATCHEL,LUGGAGE,0002581900,64.00,160.00,0,ASHWOOD
1334,RUST,,SATCHEL,LUGGAGE,0002581800,64.00,160.00,0,ASHWOOD
1334,TAN,,SATCHEL,LUGGAGE,0003859900,64.00,160.00,0,ASHWOOD
1335,BROWN,,MANBAG,MAN BAG,0003860200,32.00,80.00,0,ASHWOOD
1335,NAVY,,MANBAG,MAN BAG,0002581700,32.00,80.00,0,ASHWOOD
1335,RUST,,MANBAG,MAN BAG,0002581600,32.00,80.00,0,ASHWOOD
1335,TAN,,MANBAG,MAN BAG,0003860100,32.00,80.00,0,ASHWOOD
1336,BROWN,,SATCHEL,LUGGAGE,0003860400,52.00,130.00,0,ASHWOOD
1336,NAVY,,SATCHEL,LUGGAGE,0002581500,52.00,130.00,0,ASHWOOD
