# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240325
# End date: 20240421
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Key events,Ad revenue
/ladies-c3/leather-jackets-c9,1000,128360,0.007790588968526021,15.973426301028358,921,758,0.7557328015952144,93.26818675352877,12403,5,0
/mens-c4/leather-jackets-c25,751,101936,0.007367367760163239,17.497675011772092,722,597,0.7733160621761658,78.68698060941828,8659,0,0
/handbags-c6,535,64315,0.00831843271398585,29.45502604369121,512,426,0.781651376146789,74.740234375,5402,0,0
/handbags-c6/backpacks-c89,443,50030,0.008854687187687388,21.2250049970018,426,336,0.7417218543046358,70.90140845070422,4606,1,0
/mens-c4/man-bags-briefcases-c12,260,44048,0.005902651652742463,31.58506629131856,252,217,0.7457044673539519,65.25396825396825,2739,0,0
/mens-c4/leather-jackets-c25/bomber-styles-c99,78,42508,0.001834948715535899,24.043474169568082,77,61,0.7176470588235294,53.532467532467535,873,0,0
/gift-accessories-c8/wallets-c16,234,40223,0.0058175670636203165,29.96330457698332,230,191,0.7958333333333333,51.356521739130436,2121,1,0
/mens-c4/leather-jackets-c25/brown-t3,100,28070,0.003562522265764161,13.240648379052368,93,67,0.67,43.72043010752688,999,0,0
/mens-c4/leather-jackets-c25/biker-styles-c97,75,27569,0.0027204468787406146,21.353803184736478,70,52,0.7123287671232876,60.8,612,0,0
/handbags-c6/cross-body-bag-c87,154,24603,0.006259399260252815,34.64118196967849,145,131,0.808641975308642,84.44137931034483,1770,2,0
/luggage-c7/backpacks-rucksacks-c52,252,24535,0.010271041369472182,24.04842062359894,241,186,0.7099236641221374,45.75103734439834,2070,0,0
/mens-c4/mens-jackets-coats-c182,62,24315,0.0025498663376516554,19.85062718486531,60,67,0.788235294117647,65.2,743,0,0
/ladies-c3/leather-jackets-c9/red-t11,90,24191,0.003720391881278161,11.020916869910296,84,55,0.625,39.36904761904762,776,0,0
/ladies-c3/leather-jackets-c9/full-length-styles-c92,181,23484,0.00770737523420201,12.738673139158577,161,113,0.6569767441860465,37.19875776397515,1557,1,0
/luggage-c7/holdall-c15,210,23409,0.008970908624887863,23.274936990046562,171,145,0.7795698924731183,113.61988304093568,2369,2,0
/gift-accessories-c8/purses-c36,119,23121,0.0051468362095065095,24.503784438389342,109,89,0.7807017543859649,66.75229357798165,1351,0,0
/luggage-c7/wash-toiletry-bags-c55,128,22512,0.005685856432125089,31.894500710732054,112,84,0.717948717948718,69.33928571428571,1294,1,0
/,747,21343,0.03499976573115307,18.13901513376751,856,634,0.5104669887278583,92.39602803738318,12543,6,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,54,20242,0.00266772058097026,33.955834403715045,56,46,0.7931034482758621,44.57142857142857,504,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,37,19457,0.001901629233694814,8.549930616230663,50,42,0.6774193548387096,124.5,829,1,0
/ladies-c3/leather-jackets-c9/brown-t3,100,19411,0.005151718097985678,10.738447272165267,95,76,0.76,60.11578947368421,1234,0,0
/handbags-c6/ashwood-c30,242,18914,0.012794755207782595,12.079887913714709,213,176,0.7787610619469026,99.57276995305165,2871,2,0
/ladies-c3/sheepskin-jackets-c11,136,18755,0.007251399626766196,16.866222340709143,127,105,0.7777777777777778,76.4724409448819,1296,0,0
/handbags-c6/shoulder-bag-c86,109,18519,0.005885846967978833,21.513148658134888,105,85,0.794392523364486,51.304761904761904,1102,0,0
/handbags-c6/navy-t49,94,17904,0.0052502234137622875,13.652703306523682,84,67,0.7528089887640449,71.72619047619048,892,1,0
/luggage-c7/manbags-briefcases-c64,79,17393,0.0045420571494279305,23.823434715115276,80,62,0.7469879518072289,70.05,982,0,0
/gift-accessories-c8/mens-gloves-c37,72,15918,0.004523181304183943,29.231938685764543,72,60,0.7692307692307693,59.77777777777778,802,0,0
/luggage-c7,69,13695,0.005038335158817087,22.651259583789706,74,61,0.7721518987341772,82.82432432432432,907,2,0
/mens-c4/leather-jackets-c25/black-t1,46,13575,0.0033885819521178636,10.864162062615101,45,35,0.7777777777777778,61.888888888888886,403,0,0
